Production Model,Version,Defect Type,Defect Observation Area,QA Worker,Shift Time,Component Category,Fixture ID,Inspection Week,Production Order Priority
Model 595214-125,05,reversed component,Final Assembly Line,Mel,Morning,Diode,FX-037,2025-W49,High
Model 595130-195,03,component misalignment,Unknown,Mel,Night,Capacitor,FX-047,2025-W18,High
Model 595859-381,04,damaged component,QA Inspection Station,Sloane,Morning,Capacitor,FX-014,2025-W50,High
Model 595214-125,04,solder bridge,Unknown,Sloane,Afternoon,Diode,FX-010,2025-W47,High
Model 595859-381,04,wrong component,Final Assembly Line,Davonte,Morning,Connector,FX-024,2025-W11,High
Model 595214-125,02,component height/titled,QA Inspection Station,Geofrey,Morning,Capacitor,FX-042,2025-W47,High
Model 595214-125,02,reversed component,Unknown,Daysha,Afternoon,Capacitor,FX-049,2025-W45,High
Model 595214-125,01,excessive solder,Final Assembly Line,Daysha,Afternoon,Diode,FX-008,2025-W14,Low
Model 595214-125,02,component height/titled,QA Inspection Station,Tristian,Afternoon,Transistor,FX-008,2025-W01,Medium
Model 595130-195,02,no property assembled,QA Inspection Station,Mel,Afternoon,Resistor,FX-011,2025-W34,Medium
Model 595130-195,05,component misalignment,Production Line 2,Geofrey,Morning,Resistor,FX-033,2025-W32,High
Model 595242-854,01,pin hole,Unknown,Xiang Liang,Morning,Capacitor,FX-026,2025-W45,Medium
Model 595130-195,01,wrong component,Production Line 3,Leena,Morning,Diode,FX-043,2025-W43,Medium
Model 595532-132,03,no property assembled,Production Line 1,Zoya,Afternoon,Capacitor,FX-003,2025-W33,Medium
Model 595323-328,04,damaged/ lifted pad,Production Line 1,Darci,Afternoon,Diode,FX-021,2025-W09,Low
Model 595130-195,05,no property assembled,Final Assembly Line,Geofrey,Night,Connector,FX-027,2025-W19,Medium
Model 595214-125,04,component height/titled,QA Inspection Station,Daysha,Morning,Capacitor,FX-043,2025-W15,High
Model 595130-195,03,missing component,Production Line 2,Leena,Morning,Diode,FX-017,2025-W46,Medium
Model 595214-125,01,bad modules,Production Line 2,Tristian,Morning,Connector,FX-012,2025-W07,Low
Model 595242-854,02,solder bridge,QA Inspection Station,Xiang Liang,Night,Capacitor,FX-021,2025-W02,High
Model 595214-125,01,component height/titled,Final Assembly Line,Alaine,Afternoon,Resistor,FX-019,2025-W25,Low
Model 595204-792,04,solder void,Production Line 3,Daysha,Morning,Resistor,FX-007,2025-W35,Medium
Model 595204-792,05,reversed component,Production Line 2,Davonte,Morning,Transistor,FX-027,2025-W36,High
Model 595214-125,05,component height/titled,QA Inspection Station,Leena,Night,Diode,FX-038,2025-W43,Low
Model 595242-854,05,lifted component,Production Line 2,Daysha,Afternoon,Capacitor,FX-005,2025-W17,Medium
Model 595204-792,01,damaged/ lifted pad,Final Assembly Line,Tristian,Afternoon,Capacitor,FX-026,2025-W14,Medium
Model 595532-132,05,component misalignment,QA Inspection Station,Leena,Afternoon,Transistor,FX-029,2025-W20,Medium
Model 595242-854,04,component broken,Final Assembly Line,Tristian,Night,Transistor,FX-039,2025-W16,Low
Model 595130-195,01,reversed component,Unknown,Zoya,Night,Capacitor,FX-018,2025-W15,High
Model 595532-132,02,damaged/ lifted pad,QA Inspection Station,Sloane,Morning,Connector,FX-037,2025-W27,High
Model 595859-381,05,pin damaged,Production Line 1,Zoya,Afternoon,Transistor,FX-034,2025-W18,High
Model 595859-381,04,damaged/ lifted pad,QA Inspection Station,Leena,Afternoon,Transistor,FX-026,2025-W03,High
Model 595859-381,04,reversed component,Production Line 2,Daysha,Morning,Connector,FX-039,2025-W08,Medium
Model 595242-854,01,solder bridge,Production Line 2,Darci,Night,Capacitor,FX-049,2025-W29,Low
Model 595859-381,02,wrong component,QA Inspection Station,Tristian,Afternoon,Transistor,FX-041,2025-W20,High
Model 595532-132,04,long terminals,Production Line 1,Zoya,Morning,Transistor,FX-031,2025-W26,Low
Model 595130-195,03,missing component,QA Inspection Station,Davonte,Night,Connector,FX-031,2025-W04,Low
Model 595130-195,03,missing/unknown,Final Assembly Line,Tristian,Afternoon,Transistor,FX-050,2025-W15,High
Model 595130-195,02,component misalignment,Final Assembly Line,Sloane,Night,Capacitor,FX-046,2025-W21,Low
Model 595242-854,05,pin hole,Production Line 3,Leena,Morning,Diode,FX-021,2025-W40,High
Model 595130-195,01,bad modules,Final Assembly Line,Davonte,Night,Capacitor,FX-023,2025-W06,Low
Model 595859-381,05,damaged/ lifted pad,Production Line 1,Xiang Liang,Night,Resistor,FX-002,2025-W08,Low
Model 595859-381,01,damaged/ lifted pad,Unknown,Leena,Night,Connector,FX-008,2025-W26,Low
Model 595323-328,03,long terminals,Unknown,Sloane,Afternoon,Capacitor,FX-023,2025-W37,Low
Model 595242-854,01,lifted component,Unknown,Alaine,Night,Resistor,FX-018,2025-W25,High
Model 595242-854,03,lifted component,Final Assembly Line,Darci,Night,Diode,FX-020,2025-W34,Low
Model 595214-125,05,solder bridge,Production Line 1,Mel,Afternoon,Resistor,FX-045,2025-W44,High
Model 595242-854,01,lifted component,Production Line 3,Davonte,Morning,Connector,FX-005,2025-W38,High
Model 595204-792,01,solder void,Unknown,Alaine,Night,Resistor,FX-030,2025-W11,High
Model 595242-854,05,solder bridge,Final Assembly Line,Tristian,Afternoon,Capacitor,FX-049,2025-W40,Low
Model 595130-195,05,missing/unknown,Production Line 2,Zoya,Morning,Connector,FX-010,2025-W11,High
Model 595214-125,04,solder bridge,QA Inspection Station,Mel,Afternoon,Transistor,FX-036,2025-W13,Low
Model 595242-854,03,solder bridge,Unknown,Jerome,Morning,Capacitor,FX-013,2025-W22,High
Model 595242-854,02,solder bridge,Production Line 2,Sloane,Afternoon,Resistor,FX-008,2025-W13,High
Model 595204-792,04,pin damaged,Production Line 1,Darci,Night,Diode,FX-021,2025-W36,Medium
Model 595532-132,03,solder bridge,Final Assembly Line,Mel,Morning,Diode,FX-044,2025-W19,Low
Model 595214-125,03,excessive solder,Production Line 1,Tristian,Afternoon,Capacitor,FX-011,2025-W07,Medium
Model 595214-125,03,solder bridge,Unknown,Geofrey,Afternoon,Resistor,FX-046,2025-W43,Low
Model 595214-125,04,excessive solder,Production Line 2,Sloane,Morning,Diode,FX-003,2025-W05,High
Model 595242-854,01,lifted component,Production Line 2,Darci,Morning,Resistor,FX-037,2025-W42,Medium
Model 595214-125,03,damaged/ lifted pad,Production Line 2,Sloane,Night,Resistor,FX-012,2025-W22,High
Model 595130-195,04,missing/unknown,Production Line 1,Geofrey,Morning,Connector,FX-016,2025-W28,High
Model 595532-132,02,long terminals,Production Line 2,Davonte,Night,Connector,FX-039,2025-W22,High
Model 595189-704,02,wrong component,QA Inspection Station,Daysha,Afternoon,Diode,FX-005,2025-W03,Medium
Model 595130-195,03,missing component,Production Line 1,Tristian,Morning,Connector,FX-005,2025-W08,Medium
Model 595242-854,02,component broken,Unknown,Sloane,Night,Capacitor,FX-030,2025-W08,Low
Model 595130-195,02,no property assembled,Production Line 1,Davonte,Morning,Connector,FX-026,2025-W17,High
Model 595323-328,04,damaged/ lifted pad,QA Inspection Station,Tristian,Night,Resistor,FX-014,2025-W22,Medium
Model 595242-854,04,pin damaged,Production Line 3,Jerome,Morning,Connector,FX-042,2025-W52,Medium
Model 595859-381,04,damaged component,Production Line 1,Zoya,Afternoon,Connector,FX-041,2025-W31,High
Model 595242-854,03,pin hole,Unknown,Alaine,Morning,Capacitor,FX-036,2025-W16,High
Model 595242-854,03,solder bridge,Production Line 1,Zoya,Afternoon,Connector,FX-037,2025-W13,Medium
Model 595130-195,03,lifted component,Unknown,Daysha,Night,Resistor,FX-001,2025-W43,Medium
Model 595242-854,04,lifted component,Production Line 1,Jerome,Morning,Connector,FX-037,2025-W13,Low
Model 595214-125,04,wrong configuration,Production Line 2,Jerome,Night,Transistor,FX-036,2025-W26,High
Model 595242-854,03,lifted component,Unknown,Leena,Night,Diode,FX-035,2025-W41,Medium
Model 595242-854,01,solder bridge,Final Assembly Line,Daysha,Afternoon,Transistor,FX-027,2025-W49,Low
Model 595242-854,04,component broken,Production Line 1,Xiang Liang,Afternoon,Capacitor,FX-008,2025-W30,Medium
Model 595189-704,01,lifted component,Unknown,Sloane,Morning,Transistor,FX-018,2025-W49,Medium
Model 595242-854,02,missing/unknown,Production Line 3,Tristian,Night,Connector,FX-001,2025-W13,High
Model 595242-854,02,pin hole,Production Line 2,Jerome,Night,Resistor,FX-014,2025-W15,High
Model 595130-195,03,insufficient solder,QA Inspection Station,Darci,Morning,Transistor,FX-023,2025-W44,High
Model 595214-125,02,reversed component,Production Line 3,Alaine,Morning,Resistor,FX-006,2025-W41,Medium
Model 595859-381,01,reversed component,Final Assembly Line,Leena,Night,Transistor,FX-019,2025-W51,Low
Model 595130-195,02,bad modules,Unknown,Daysha,Afternoon,Connector,FX-022,2025-W42,Low
Model 595242-854,02,lifted component,Production Line 3,Sloane,Night,Resistor,FX-010,2025-W04,High
Model 595130-195,04,missing/unknown,Production Line 3,Darci,Afternoon,Capacitor,FX-012,2025-W31,Medium
Model 595130-195,01,wrong configuration,Production Line 1,Xiang Liang,Morning,Capacitor,FX-034,2025-W49,High
Model 595532-132,04,damaged component,Final Assembly Line,Daysha,Morning,Connector,FX-020,2025-W13,Low
Model 595130-195,05,missing/unknown,Unknown,Zoya,Night,Transistor,FX-002,2025-W08,Low
Model 595130-195,04,missing component,Unknown,Zoya,Night,Connector,FX-016,2025-W21,Medium
Model 595242-854,05,component broken,Production Line 1,Darci,Night,Transistor,FX-021,2025-W37,Medium
Model 595214-125,03,excessive solder,QA Inspection Station,Leena,Afternoon,Transistor,FX-030,2025-W17,High
Model 595130-195,04,missing/unknown,Production Line 3,Davonte,Night,Diode,FX-026,2025-W07,Low
Model 595532-132,04,damaged/ lifted pad,Final Assembly Line,Geofrey,Night,Capacitor,FX-039,2025-W35,Low
Model 595204-792,04,pin damaged,Production Line 3,Sloane,Afternoon,Transistor,FX-034,2025-W09,Low
Model 595214-125,02,excessive solder,Production Line 1,Tristian,Morning,Capacitor,FX-035,2025-W36,High
Model 595242-854,01,pin damaged,Production Line 2,Darci,Morning,Diode,FX-022,2025-W10,Low
Model 595214-125,03,component height/titled,Unknown,Alaine,Night,Resistor,FX-047,2025-W03,Low
Model 595130-195,05,component misalignment,Production Line 1,Zoya,Morning,Resistor,FX-039,2025-W28,Medium
Model 595532-132,03,wrong configuration,Production Line 3,Zoya,Afternoon,Connector,FX-032,2025-W17,High
Model 595130-195,04,missing/unknown,Production Line 3,Alaine,Night,Resistor,FX-029,2025-W05,Low
Model 595532-132,02,insufficient solder,Unknown,Xiang Liang,Night,Transistor,FX-017,2025-W28,Low
Model 595532-132,02,insufficient solder,QA Inspection Station,Davonte,Afternoon,Transistor,FX-018,2025-W17,High
Model 595532-132,04,insufficient solder,Production Line 3,Zoya,Morning,Transistor,FX-040,2025-W20,Low
Model 595204-792,04,component misalignment,Production Line 1,Leena,Night,Connector,FX-023,2025-W21,Low
Model 595130-195,02,missing component,QA Inspection Station,Tristian,Morning,Capacitor,FX-048,2025-W47,Medium
Model 595214-125,05,reversed component,Final Assembly Line,Mel,Afternoon,Connector,FX-048,2025-W39,Low
Model 595323-328,01,pin damaged,Final Assembly Line,Daysha,Night,Resistor,FX-047,2025-W02,High
Model 595130-195,03,component misalignment,Production Line 1,Leena,Night,Connector,FX-012,2025-W45,High
Model 595242-854,01,lifted component,Production Line 2,Jerome,Night,Connector,FX-047,2025-W35,Low
Model 595214-125,04,component height/titled,Production Line 1,Leena,Night,Connector,FX-004,2025-W23,Medium
Model 595532-132,02,insufficient solder,Unknown,Geofrey,Morning,Diode,FX-016,2025-W41,Medium
Model 595214-125,03,solder bridge,Production Line 3,Geofrey,Morning,Transistor,FX-002,2025-W20,Low
Model 595242-854,01,solder bridge,Production Line 3,Tristian,Afternoon,Connector,FX-011,2025-W25,Low
Model 595242-854,05,solder bridge,Production Line 1,Alaine,Morning,Resistor,FX-013,2025-W31,Low
Model 595214-125,05,solder bridge,Production Line 1,Leena,Morning,Resistor,FX-016,2025-W33,Low
Model 595130-195,03,long terminals,Production Line 1,Tristian,Night,Connector,FX-003,2025-W24,Medium
Model 595214-125,05,excessive solder,Production Line 3,Xiang Liang,Morning,Transistor,FX-048,2025-W18,Low
Model 595130-195,01,missing/unknown,Production Line 2,Darci,Afternoon,Transistor,FX-032,2025-W42,Medium
Model 595130-195,05,reversed component,Unknown,Xiang Liang,Night,Resistor,FX-047,2025-W33,High
Model 595214-125,01,solder bridge,Production Line 1,Leena,Afternoon,Diode,FX-002,2025-W05,Low
Model 595859-381,02,wrong routing,Final Assembly Line,Geofrey,Night,Transistor,FX-007,2025-W29,High
Model 595130-195,05,no property assembled,Production Line 2,Leena,Afternoon,Transistor,FX-007,2025-W30,Low
Model 595130-195,05,component broken,Final Assembly Line,Mel,Night,Capacitor,FX-035,2025-W07,Medium
Model 595214-125,01,component height/titled,Final Assembly Line,Tristian,Afternoon,Resistor,FX-020,2025-W27,Medium
Model 595858-658,01,component misalignment,Unknown,Mel,Afternoon,Resistor,FX-046,2025-W35,High
Model 595323-328,04,missing/unknown,Production Line 3,Tristian,Afternoon,Transistor,FX-046,2025-W03,Low
Model 595532-132,01,damaged/ lifted pad,Unknown,Davonte,Afternoon,Connector,FX-024,2025-W19,Medium
Model 595859-381,04,reversed component,Final Assembly Line,Mel,Night,Transistor,FX-037,2025-W49,Medium
Model 595214-125,04,defective component,Production Line 3,Alaine,Afternoon,Transistor,FX-039,2025-W09,High
Model 595532-132,02,wrong component,Production Line 3,Davonte,Night,Resistor,FX-047,2025-W22,Low
Model 595323-328,03,missing/unknown,Final Assembly Line,Davonte,Morning,Resistor,FX-012,2025-W47,Low
Model 595242-854,04,long terminals,Production Line 1,Mel,Morning,Capacitor,FX-003,2025-W40,High
Model 595130-195,02,missing/unknown,Unknown,Davonte,Morning,Transistor,FX-028,2025-W31,High
Model 595214-125,05,reversed component,Production Line 2,Xiang Liang,Night,Connector,FX-027,2025-W43,Medium
Model 595214-125,05,excessive solder,Unknown,Geofrey,Afternoon,Capacitor,FX-017,2025-W43,Low
Model 595130-195,01,long terminals,Production Line 1,Mel,Afternoon,Capacitor,FX-022,2025-W23,Low
Model 595242-854,01,damaged component,Unknown,Leena,Morning,Resistor,FX-017,2025-W15,Medium
Model 595214-125,03,reversed component,Final Assembly Line,Alaine,Night,Diode,FX-034,2025-W09,High
Model 595204-792,02,solder void,QA Inspection Station,Davonte,Night,Capacitor,FX-013,2025-W42,Low
Model 595130-195,01,missing component,Production Line 3,Tristian,Night,Resistor,FX-012,2025-W34,High
Model 595242-854,02,component broken,Production Line 1,Zoya,Afternoon,Resistor,FX-009,2025-W24,Medium
Model 595242-854,04,component broken,Unknown,Jerome,Morning,Connector,FX-013,2025-W32,High
Model 595214-125,04,solder bridge,Production Line 2,Jerome,Morning,Capacitor,FX-035,2025-W10,High
Model 595214-125,05,reversed component,Production Line 3,Tristian,Morning,Transistor,FX-015,2025-W25,Low
Model 595323-328,05,damaged/ lifted pad,Production Line 2,Davonte,Morning,Diode,FX-045,2025-W31,High
Model 595214-125,01,reversed component,Unknown,Zoya,Morning,Resistor,FX-038,2025-W05,High
Model 595130-195,01,component misalignment,Final Assembly Line,Darci,Night,Resistor,FX-023,2025-W21,Low
Model 595214-125,02,excessive solder,Production Line 2,Sloane,Afternoon,Capacitor,FX-007,2025-W18,Medium
Model 595130-195,01,no property assembled,Unknown,Sloane,Night,Capacitor,FX-034,2025-W06,Medium
Model 595130-195,02,reversed component,Production Line 3,Jerome,Morning,Transistor,FX-029,2025-W16,Medium
Model 595130-195,05,component misalignment,Production Line 3,Sloane,Afternoon,Resistor,FX-039,2025-W01,Low
Model 595130-195,02,missing/unknown,QA Inspection Station,Tristian,Night,Capacitor,FX-032,2025-W42,Medium
Model 595532-132,05,long terminals,Production Line 2,Zoya,Morning,Capacitor,FX-022,2025-W23,Medium
Model 595323-328,05,long terminals,Production Line 1,Zoya,Morning,Connector,FX-010,2025-W40,High
Model 595130-195,05,no property assembled,Production Line 3,Zoya,Morning,Connector,FX-031,2025-W13,Low
Model 595130-195,03,no property assembled,Production Line 3,Xiang Liang,Morning,Connector,FX-025,2025-W51,High
Model 595130-195,04,missing component,Production Line 3,Darci,Afternoon,Resistor,FX-031,2025-W10,Low
Model 595130-195,02,missing/unknown,Production Line 1,Zoya,Night,Transistor,FX-024,2025-W42,Medium
Model 595130-195,02,missing/unknown,Final Assembly Line,Tristian,Afternoon,Connector,FX-022,2025-W10,Low
Model 595214-125,04,solder bridge,QA Inspection Station,Davonte,Morning,Capacitor,FX-043,2025-W42,Low
Model 595242-854,03,solder bridge,Production Line 2,Geofrey,Morning,Diode,FX-025,2025-W20,High
Model 595130-195,04,missing/unknown,QA Inspection Station,Darci,Afternoon,Capacitor,FX-008,2025-W06,High
Model 595532-132,04,no property assembled,Unknown,Tristian,Afternoon,Connector,FX-022,2025-W27,Low
Model 595242-854,05,defective component,Production Line 1,Leena,Morning,Connector,FX-033,2025-W06,Medium
Model 595130-195,05,long terminals,Final Assembly Line,Mel,Afternoon,Transistor,FX-039,2025-W51,Medium
Model 595859-381,01,missing/unknown,Unknown,Geofrey,Afternoon,Resistor,FX-024,2025-W22,High
Model 595130-195,04,component misalignment,Unknown,Mel,Afternoon,Resistor,FX-004,2025-W11,Low
Model 595130-195,04,no property assembled,QA Inspection Station,Davonte,Night,Connector,FX-018,2025-W26,High
Model 595242-854,03,component broken,Unknown,Tristian,Morning,Diode,FX-034,2025-W22,Medium
Model 595130-195,03,component misalignment,QA Inspection Station,Davonte,Morning,Resistor,FX-033,2025-W20,Medium
Model 595532-132,02,insufficient solder,Final Assembly Line,Alaine,Afternoon,Transistor,FX-039,2025-W11,Medium
Model 595214-125,03,reversed component,Production Line 3,Tristian,Afternoon,Diode,FX-030,2025-W48,High
Model 595242-854,03,solder bridge,Production Line 2,Davonte,Night,Diode,FX-007,2025-W51,Low
Model 595130-195,03,missing/unknown,Final Assembly Line,Davonte,Night,Connector,FX-039,2025-W47,Low
